unique_id,ds,best_model_name,best_forecast,best_forecast-lo-95,best_forecast-hi-95
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-01,Prophet_tuned,251.80765867905163,193.11977420256056,313.46600314674305
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-02,Prophet_tuned,196.75110232105283,136.62174461150337,252.87168333037081
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-03,Prophet_tuned,196.82296412936103,139.52251306642393,258.0342970739152
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-04,Prophet_tuned,196.89482593766928,140.04262131180022,258.4062807622062
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-05,Prophet_tuned,196.96668774597748,137.2205077875443,256.27874809887845
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-06,Prophet_tuned,197.0385495542857,134.65033223253425,255.35790333805838
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-07,Prophet_tuned,197.11041136259394,140.9710726632363,256.70741892089484
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-08,Prophet_tuned,197.1822731709022,137.92071091282202,250.77066291316808
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-09,Prophet_tuned,197.2541349792104,136.32252362767358,261.4042335347815
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-10,Prophet_tuned,197.32599678751865,138.0080171586814,254.0511815392039
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-11,Prophet_tuned,197.39785859582688,138.6407165503791,254.33857455120312
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-12,Prophet_tuned,197.4697204041351,140.60668605230248,256.2738200884155
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-13,Prophet_tuned,197.54158221244333,138.70074471361286,255.79983131811946
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-14,Prophet_tuned,197.61344402075153,133.25805204971095,256.97548006126794
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-15,Prophet_tuned,197.68530582905976,141.63610281670177,255.93377063304823
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-16,Prophet_tuned,197.75716763736798,138.71889789214754,255.0405751253727
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-17,Prophet_tuned,197.82902944567624,134.4823522988553,261.38505944746197
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-18,Prophet_tuned,197.90089125398444,139.12409105026165,256.7154037292108
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-19,Prophet_tuned,197.9727530622927,137.35967609297114,255.32756011189758
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-20,Prophet_tuned,198.04461487060092,143.73294849279313,257.1174077004398
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-21,Prophet_tuned,198.11647667890915,134.78315559771352,261.888459878061
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-22,Prophet_tuned,198.18833848721738,139.36960636542227,257.8279584784408
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-23,Prophet_tuned,198.2602002955256,140.4786482776058,257.80559654924593
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-24,Prophet_tuned,198.3320621038338,139.71243365925537,256.56336827035915
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-25,Prophet_tuned,198.40392391214206,139.23796030644766,263.0531475662379
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-26,Prophet_tuned,198.4757857204503,143.71947308899723,256.85056474475647
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-27,Prophet_tuned,198.5476475287585,137.19051953207926,256.36775509900065
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-28,Prophet_tuned,198.61950933706675,139.99596115840023,258.32633016527836
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-29,Prophet_tuned,198.69137114537497,142.52209372444963,259.61607566515187
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-30,Prophet_tuned,198.7632329536832,138.37775337130165,258.8283926286798
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-01-31,Prophet_tuned,198.83509476199143,142.46479327129714,259.979847505293
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-01,Prophet_tuned,198.90695657029966,142.31467135855252,260.7288710744021
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-02,Prophet_tuned,198.97881837860785,143.3622216077003,258.47306384066957
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-03,Prophet_tuned,199.0506801869161,133.81770693871033,258.52399050078634
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-04,Prophet_tuned,199.12254199522434,142.98355960589004,258.30914877437846
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-05,Prophet_tuned,199.19440380353257,137.65868710175855,255.19279699534513
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-06,Prophet_tuned,199.2662656118408,140.54453424356834,257.10784757264827
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-07,Prophet_tuned,199.33812742014902,143.15753286457843,261.59172902171406
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-08,Prophet_tuned,199.40998922845725,141.7943086567135,259.4629097827174
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-09,Prophet_tuned,199.48185103676548,142.347628133543,254.2122480514404
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-10,Prophet_tuned,199.55371284507368,140.3513107761969,259.8500971365612
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-11,Prophet_tuned,199.6255746533819,141.31449701120505,264.43629169004157
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-12,Prophet_tuned,199.69743646169016,140.8176740908697,257.58354877991866
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-13,Prophet_tuned,199.76929826999836,144.41339212986938,265.1741538182906
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-14,Prophet_tuned,199.84116007830661,138.66240565942445,256.08499910802726
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-15,Prophet_tuned,156.73193910257027,92.88532212230662,211.26152475521621
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-16,Prophet_tuned,163.21898472769269,107.24919154305968,224.8611390034988
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-17,Prophet_tuned,200.0567455032313,140.44024257499692,254.84081895228343
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-18,Prophet_tuned,200.12860731153953,143.74985418868917,266.053392874307
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-19,Prophet_tuned,200.20046911984772,139.38632987441775,260.05503323389166
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-20,Prophet_tuned,200.27233092815598,144.46423824581694,259.87108013782614
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-21,Prophet_tuned,200.3441927364642,141.14858139340782,260.0242224774007
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-22,Prophet_tuned,200.4160545447724,139.77988661268895,258.708250863756
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-23,Prophet_tuned,200.48791635308066,139.5434578206636,255.9633767240481
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-24,Prophet_tuned,200.5597781613889,143.0590202009325,256.17394496432195
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-25,Prophet_tuned,200.63163996969712,141.28832242763474,256.80672943749073
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-26,Prophet_tuned,200.70350177800535,142.46243303361834,261.1870223479986
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-27,Prophet_tuned,200.77536358631357,141.45888152351577,256.5961833736699
Argentina_Kagglazon_Using LLMs to Improve Your Coding,2021-02-28,Prophet_tuned,200.84722539462177,140.88352009082456,261.96806684763266
