ds,best_forecast,best_forecast-lo-95,best_forecast-hi-95,unique_id,best_model
2022-01-01,219.5391862548929,158.7520699842806,282.4420801040595,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-02,177.77162542242309,115.54151348662558,238.2574460344148,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-03,177.78496133604114,119.14680310739568,235.71468667149168,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-04,177.79829724965916,120.46449864115289,239.96994084369896,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-05,177.81163316327718,116.17796054224344,235.22932195989756,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-06,177.82496907689523,118.59761248205412,239.124732340685,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-07,177.83830499051325,115.86459560231312,238.41713570713608,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-08,177.85164090413127,113.50538649106456,241.656786367909,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-09,177.8649768177493,113.18369475984767,234.99920746456073,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-10,177.87831273136734,116.00659768172602,238.91842248190105,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-11,177.89164864498537,112.28653905306447,236.46690741665384,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-12,177.9049845586034,111.96506125497261,238.9868419715046,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-13,177.9183204722214,117.28266597159333,240.85363166673946,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-14,177.93165638583943,119.69809965257711,240.44488357155618,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-15,177.94499229945748,115.3263309079901,237.21745177959127,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-16,177.9583282130755,120.10773824459609,239.53843043306892,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-17,177.97166412669353,113.9462313488476,241.68536646743618,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-18,177.98500004031155,117.21190293842969,242.83030583682222,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-19,177.9983359539296,116.83045069865108,237.34580303392272,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-20,178.01167186754762,119.0779137624394,237.46436847117974,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-21,178.02500778116564,118.81491092467357,242.65910341841476,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-22,178.03834369478366,114.70402330929416,239.65457183264235,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-23,178.05167960840168,117.05041156440107,240.48984351828904,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-24,178.06501552201973,115.52433850828027,234.81156026064633,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-25,178.07835143563776,116.91118733780958,239.87046497641978,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-26,178.09168734925578,115.03409033617848,237.09878303817771,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-27,178.1050232628738,118.15705607872611,241.7499287979989,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-28,178.11835917649182,121.36666354332255,241.22353786028376,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-29,178.13169509010987,118.80080351221343,238.4690340843654,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-30,178.14503100372787,114.98172578339978,238.79714789419086,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-01-31,178.15836691734592,116.06558493343228,238.1502403606773,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-01,178.17170283096394,118.74920333094751,236.6979745282475,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-02,178.185038744582,119.1213621441291,240.63992231217796,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-03,178.1983746582,115.91225661683589,238.14761874275476,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-04,178.21171057181803,117.19892017433747,240.06403194686706,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-05,178.22504648543605,113.0265985283271,236.98611153395504,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-06,178.23838239905407,114.83087008287264,236.01602044329107,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-07,178.25171831267212,117.13488296706159,243.506492726171,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-08,178.26505422629015,118.05827116922403,238.37224780569852,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-09,178.27839013990817,118.99593847810497,239.46947645934844,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-10,178.2917260535262,116.87129797427983,239.6963434111079,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-11,178.30506196714424,118.47406793325628,244.64394150728882,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-12,178.31839788076226,120.82532332220916,240.3445778516682,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-13,178.33173379438028,118.7011130452795,237.1699912456305,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-14,178.3450697079983,118.42865125529475,240.5603352380371,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-15,178.35840562161633,116.34191563812229,238.0738570851846,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-16,178.37174153523438,117.76610586109764,238.13763647728632,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-17,178.3850774488524,114.32279446201761,241.14701171537646,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-18,178.39841336247045,116.64287197910586,237.09967039528533,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-19,178.41174927608844,115.59933823007714,240.3672066888964,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-20,178.4250851897065,116.04555129499934,236.95359233308417,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-21,178.43842110332452,117.88810884234795,239.40568984043514,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-22,178.45175701694254,117.9980597805144,244.2811721926307,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-23,178.46509293056056,114.97413989009084,236.99742210294343,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-24,178.47842884417858,116.13403358584664,240.17630926625142,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-25,178.49176475779663,122.73497003430758,233.70244754651316,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-26,178.50510067141465,115.38338740172426,240.31373236878892,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-27,178.51843658503267,119.01632423512507,240.68450989150503,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-02-28,144.86885338995017,81.44079060743243,205.05263832832202,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-01,150.93943682040458,90.18315968880661,211.55373842276938,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-02,178.55844432588677,117.27065245692606,239.75229006049108,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-03,178.5717802395048,120.16279361842125,243.53039519596044,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-04,178.58511615312284,115.09389243799166,241.94154505697892,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-05,178.59845206674083,120.52435970988641,238.24679040913387,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-06,178.61178798035888,116.30202207618616,238.13411618787265,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-07,178.6251238939769,119.96893588489498,233.41223824933977,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-08,178.63845980759493,117.96673743946371,238.80673159245376,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-09,178.65179572121295,118.57457269119111,236.6903679989696,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-10,178.66513163483097,119.17529369740579,243.32008947756793,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-11,178.67846754844902,117.44067186967335,237.48081755836523,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-12,178.69180346206704,116.08786982411493,242.1171309449849,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-13,178.7051393756851,116.66587063428238,235.30678216471733,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-14,178.71847528930311,118.7445607715075,239.46049503353447,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-15,178.73181120292114,118.49104028944741,238.38607311100736,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-16,178.74514711653916,119.77548220578954,236.2566522096425,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-17,178.75848303015718,114.27878589759636,238.07320310904453,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-18,178.77181894377523,116.21300735417175,240.58228006160422,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-19,178.78515485739322,120.63033789725176,244.7238914970111,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-20,178.79849077101127,118.311314519519,241.13319055924313,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-21,178.8118266846293,117.43524606080078,237.67465422144147,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-22,178.82516259824735,114.95049009904452,236.62267278827514,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-23,178.83849851186534,116.20106223600585,243.42716648456732,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-24,156.36110356982317,95.04292484459233,216.83202550275757,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-25,178.8651703391014,117.0680776760355,239.0663233260711,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-26,178.87850625271943,116.55194151265073,238.31508404939322,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-27,178.89184216633748,117.54633022629508,244.16988287250228,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-28,178.90517807995548,122.11056330518214,238.42042923544037,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-29,178.91851399357353,119.25846355338659,239.7189463212484,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-30,178.93184990719155,120.68672618060835,238.37041256630644,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-03-31,178.94518582080957,117.02726278490076,237.51793600970933,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-04-01,178.95852173442762,115.36204831707823,245.02695780902525,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-04-02,158.15911472875837,98.18324883381986,220.88317357190928,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-04-03,178.98519356166366,117.72331068712451,238.53763601902995,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-04-04,178.99852947528169,114.4076213847065,239.8158837798557,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-04-05,179.01186538889974,115.94622908518821,242.4078413183559,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
2022-04-06,179.02520130251773,112.58570219449439,239.51697468362582,Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned
