unique_id,best_model,best_smape,AutoETS,AutoARIMA,AutoTheta,CES,Prophet_tuned,Prophet_plain
Argentina_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned,0.08391898738406985,0.15608100765770924,0.10889636579327906,0.14696199308601673,0.13953578481560208,0.08391898738406985,0.10544244192617137
Argentina_Kagglazon_Using LLMs to Train More LLMs,Prophet_tuned,0.07585857795998201,0.15308989924383035,0.12121796725657723,0.14383543636135107,0.09330564991679068,0.07585857795998201,0.08102139702396832
Argentina_Kagglazon_Using LLMs to Win Friends and Influence People,CES,0.07990007921457028,0.1603027026757201,0.10961865810598612,0.1548455946401966,0.07990007921457028,0.08222648877550173,0.08276584370254383
Argentina_Kagglazon_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.11205320667599186,0.20978592005169802,0.11359130951724593,0.2000429478600017,0.1183297972286686,0.11205320667599186,0.11242952805195458
Argentina_Kagglazon_Using LLMs to Write Better,AutoARIMA,0.06898491058657552,0.16522779216417977,0.06898491058657552,0.15742439390848678,0.09730287478876276,0.0922509818063147,0.09097209180903315
Argentina_Kaggle Learn_Using LLMs to Improve Your Coding,Prophet_tuned,0.09410279899338653,0.144484355595692,0.11732327454733617,0.13903049239085347,0.13470057726862752,0.09410279899338653,0.10811974726504511
Argentina_Kaggle Learn_Using LLMs to Train More LLMs,Prophet_tuned,0.0818758838970743,0.17638689263859378,0.10309223704947429,0.17017376665142045,0.0932318249713032,0.0818758838970743,0.08510939609979312
Argentina_Kaggle Learn_Using LLMs to Win Friends and Influence People,Prophet_tuned,0.09712903729893195,0.17097846455751187,0.13906893796754324,0.16900256541392703,0.10402448286835786,0.09712903729893195,0.10016582004369627
Argentina_Kaggle Learn_Using LLMs to Win More Kaggle Competitions,AutoARIMA,0.09968102343348516,0.20059777083017447,0.09968102343348516,0.19265052246233189,0.10711740823041209,0.1059518273034517,0.10643638090948566
Argentina_Kaggle Learn_Using LLMs to Write Better,CES,0.08171858596843959,0.15402840113295438,0.09252742455515672,0.14585269639461498,0.08171858596843959,0.10275848162895054,0.10185862197126007
Argentina_Kaggle Store_Using LLMs to Improve Your Coding,AutoARIMA,0.09805115507276417,0.14606301970001004,0.09805115507276417,0.13726022733462667,0.10772003413836338,0.1025735157866723,0.10236171796920472
Argentina_Kaggle Store_Using LLMs to Train More LLMs,Prophet_tuned,0.07881308201703069,0.16346777181188,0.12271939667387093,0.15288205489039186,0.09881671673455847,0.07881308201703069,0.0809363720121805
Argentina_Kaggle Store_Using LLMs to Win Friends and Influence People,AutoARIMA,0.09018066959692166,0.17429800384376293,0.09018066959692166,0.1691951305610084,0.11005241748442533,0.09263386497297663,0.09487415874854901
Argentina_Kaggle Store_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.10182634649073537,0.21131842687298233,0.1044736271857513,0.1968410106897006,0.12606657569524674,0.10182634649073537,0.10233710942242659
Argentina_Kaggle Store_Using LLMs to Write Better,CES,0.066980676700983,0.16152728028426103,0.10659354294667207,0.14256006292942716,0.066980676700983,0.10182857086739135,0.10109640495513292
Canada_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned,0.029098633010297005,0.15705992514316325,0.07706710836024588,0.16483410733179676,0.1258657258357407,0.029098633010297005,0.029204269410700503
Canada_Kagglazon_Using LLMs to Train More LLMs,Prophet_plain,0.03342048767742702,0.17266137320672198,0.043687915752815165,0.1751507933399347,0.11704860188526803,0.035504126401329224,0.03342048767742702
Canada_Kagglazon_Using LLMs to Win Friends and Influence People,Prophet_plain,0.028969411428713256,0.15837272679987707,0.037670049304041664,0.16143466802903383,0.12727333298310411,0.02914917975548943,0.028969411428713256
Canada_Kagglazon_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.028171929565811892,0.2100582821822968,0.08317382530497551,0.21746772304935844,0.15498062562032006,0.028171929565811892,0.02823876316559687
Canada_Kagglazon_Using LLMs to Write Better,Prophet_tuned,0.026804118099740495,0.16600097730701158,0.07771372384884019,0.1648791785600308,0.11720992370732101,0.026804118099740495,0.02702977178508513
Canada_Kaggle Learn_Using LLMs to Improve Your Coding,Prophet_tuned,0.02966154037399106,0.15537193526952414,0.08227910676775954,0.16363080808634875,0.10926512087178253,0.02966154037399106,0.029927175393884533
Canada_Kaggle Learn_Using LLMs to Train More LLMs,Prophet_tuned,0.028487495226308727,0.1825895738329765,0.04846494443418286,0.18671888796553773,0.11611999649277784,0.028487495226308727,0.02863970452797983
Canada_Kaggle Learn_Using LLMs to Win Friends and Influence People,Prophet_tuned,0.02879475442729286,0.17115535927048517,0.03934057101779545,0.17639228854076872,0.09028665671416762,0.02879475442729286,0.02880565863028405
Canada_Kaggle Learn_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.02708393900258172,0.22909641384354162,0.1812084487282783,0.23005333739281672,0.1512572689704538,0.02708393900258172,0.027599099600550174
Canada_Kaggle Learn_Using LLMs to Write Better,Prophet_tuned,0.026143532316249194,0.14969436120272786,0.09006232945725048,0.1514091780638764,0.11341366895182255,0.026143532316249194,0.026477706133137446
Canada_Kaggle Store_Using LLMs to Improve Your Coding,Prophet_plain,0.027350286698381323,0.15708443867570332,0.0711236575866918,0.16403195280184593,0.11395291106815685,0.027372274424017115,0.027350286698381323
Canada_Kaggle Store_Using LLMs to Train More LLMs,Prophet_tuned,0.028067985165778162,0.17062007933070888,0.04462197153787342,0.17486996604750918,0.11885018584676017,0.028067985165778162,0.02806896362767127
Canada_Kaggle Store_Using LLMs to Win Friends and Influence People,Prophet_plain,0.02732871443056791,0.1736435757752375,0.038796030879157964,0.1814724099442802,0.13560265570790767,0.028374574121043074,0.02732871443056791
Canada_Kaggle Store_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.02655821770751615,0.2125080264232456,0.06773928479491853,0.21445943345774285,0.14999268206855923,0.02655821770751615,0.026802595105232703
Canada_Kaggle Store_Using LLMs to Write Better,Prophet_tuned,0.026992267351760434,0.15940576657732203,0.08922507766285016,0.16049563293393526,0.09554165320885924,0.026992267351760434,0.027001934302320802
Estonia_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned,0.046025533940327254,0.20104568488423757,0.11652850493939258,0.21184405674437898,0.15926138161374429,0.046025533940327254,0.046281871815337085
Estonia_Kagglazon_Using LLMs to Train More LLMs,Prophet_tuned,0.03666896314793397,0.1863183963466208,0.06883036908589737,0.1923492381976693,0.16786493134715533,0.03666896314793397,0.04026212766966313
Estonia_Kagglazon_Using LLMs to Win Friends and Influence People,Prophet_tuned,0.036464347209465134,0.2073577402265297,0.06995547513695144,0.21416133715992058,0.17484105094592725,0.036464347209465134,0.04155929700651576
Estonia_Kagglazon_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.043389799210217406,0.22732060410268526,0.05791514126812788,0.2305408411517433,0.17305225881054453,0.043389799210217406,0.0441945671821186
Estonia_Kagglazon_Using LLMs to Write Better,Prophet_tuned,0.03926973897080137,0.195022158420679,0.17166281434838063,0.19477793044076383,0.17712156225950873,0.03926973897080137,0.040136784917218137
Estonia_Kaggle Learn_Using LLMs to Improve Your Coding,Prophet_tuned,0.04522445563555171,0.20402984996286902,0.10757008533815005,0.21441258347464534,0.2040541698971146,0.04522445563555171,0.04553262298294077
Estonia_Kaggle Learn_Using LLMs to Train More LLMs,Prophet_tuned,0.04423647089125821,0.20474728708806722,0.06947523264007223,0.20980314746334766,0.15812379428651496,0.04423647089125821,0.04917412291728207
Estonia_Kaggle Learn_Using LLMs to Win Friends and Influence People,Prophet_tuned,0.034201322000963263,0.18732915230448532,0.08393661926679971,0.19312023436046138,0.11346928261506498,0.034201322000963263,0.038833724632745495
Estonia_Kaggle Learn_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.04212592407376577,0.22899316481711238,0.11186830516667651,0.23071877681296546,0.13015761963097358,0.04212592407376577,0.04247257268811208
Estonia_Kaggle Learn_Using LLMs to Write Better,Prophet_plain,0.04149997011228091,0.20750445901022097,0.16049647529374306,0.2081953635714393,0.1396155901510969,0.04201526441442911,0.04149997011228091
Estonia_Kaggle Store_Using LLMs to Improve Your Coding,Prophet_tuned,0.04235845083392884,0.1761831520275284,0.10540515137502639,0.17951568873811646,0.13426069492416123,0.04235845083392884,0.042779578775593234
Estonia_Kaggle Store_Using LLMs to Train More LLMs,Prophet_tuned,0.03918519097413349,0.2028307753804437,0.07667920654962768,0.21223543997715963,0.1687145360205184,0.03918519097413349,0.04297977063965005
Estonia_Kaggle Store_Using LLMs to Win Friends and Influence People,Prophet_tuned,0.0335534386676538,0.19591983731755416,0.07043472420334516,0.20123780150934273,0.15175559547444528,0.0335534386676538,0.037559018291551505
Estonia_Kaggle Store_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.04413201459114756,0.24337412755475538,0.07273683886006865,0.24778762033541285,0.20319813774035023,0.04413201459114756,0.0450548314515105
Estonia_Kaggle Store_Using LLMs to Write Better,Prophet_plain,0.0415186391704047,0.19396011056599324,0.08811504869601597,0.19480151331850487,0.11692351451397914,0.04198917511755399,0.0415186391704047
Japan_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned,0.02849499014244235,0.05726882342297256,0.05756407926229083,0.05683614127574267,0.08143250211597725,0.02849499014244235,0.028623400012780117
Japan_Kagglazon_Using LLMs to Train More LLMs,AutoETS,0.029887111381837538,0.029887111381837538,0.03196151831022575,0.032007107985440965,0.06722619889919106,0.03078237906422497,0.031139180806592844
Japan_Kagglazon_Using LLMs to Win Friends and Influence People,AutoETS,0.0285300616061814,0.0285300616061814,0.03448456270752543,0.02886805350578118,0.05400840511140323,0.030204809826600783,0.030812002901700074
Japan_Kagglazon_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.026394613009770095,0.06998251836094892,0.05544833001334101,0.07250022934230363,0.05482514919587701,0.026394613009770095,0.026580342460415577
Japan_Kagglazon_Using LLMs to Write Better,Prophet_tuned,0.025941167606155585,0.07516363255964852,0.07658752171874865,0.07512046471738977,0.07019912259028041,0.025941167606155585,0.02618707733730109
Japan_Kaggle Learn_Using LLMs to Improve Your Coding,Prophet_plain,0.028576112270398153,0.05341126060369384,0.05668420573812607,0.05278345506259163,0.08698903307110253,0.029852171033792483,0.028576112270398153
Japan_Kaggle Learn_Using LLMs to Train More LLMs,Prophet_tuned,0.030613747628782204,0.030984806594986807,0.03154034644559811,0.0320130536254899,0.06963867891903043,0.030613747628782204,0.032586384928626616
Japan_Kaggle Learn_Using LLMs to Win Friends and Influence People,Prophet_tuned,0.029607657603064465,0.03311662363946588,0.03945786554609556,0.03468874474501929,0.060988490714990864,0.029607657603064465,0.03059405305010249
Japan_Kaggle Learn_Using LLMs to Win More Kaggle Competitions,Prophet_plain,0.026757518822185397,0.06030787195606515,0.05212710526356325,0.06148907926028249,0.08038775019248079,0.02698977634603235,0.026757518822185397
Japan_Kaggle Learn_Using LLMs to Write Better,Prophet_plain,0.026251326587194024,0.07482229982612389,0.07663804460748916,0.07381607053810568,0.075469885105778,0.026280988038686507,0.026251326587194024
Japan_Kaggle Store_Using LLMs to Improve Your Coding,Prophet_tuned,0.02795080733586833,0.05493158958947797,0.05376122119453534,0.05421167501334724,0.0896419626043887,0.02795080733586833,0.028369524439611007
Japan_Kaggle Store_Using LLMs to Train More LLMs,Prophet_tuned,0.03207407349954299,0.03235871598226701,0.042119698612076824,0.03429399024801312,0.06988164457451078,0.03207407349954299,0.033745835421130826
Japan_Kaggle Store_Using LLMs to Win Friends and Influence People,Prophet_plain,0.028116189203396442,0.028908280387350573,0.030308376267244638,0.02929967206079238,0.05830152505956177,0.028848980057384663,0.028116189203396442
Japan_Kaggle Store_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.027089928627752113,0.06461713225606901,0.05480896047737135,0.06663470282144492,0.0733310783576536,0.027089928627752113,0.027372716561824804
Japan_Kaggle Store_Using LLMs to Write Better,Prophet_plain,0.02682842478994942,0.07362250617315688,0.07273600220021992,0.07297240751584082,0.06590648286156275,0.026864579560753825,0.02682842478994942
Spain_Kagglazon_Using LLMs to Improve Your Coding,Prophet_tuned,0.03659151155845488,0.16429079306896002,0.10372701966989323,0.16867222745383068,0.10740486368591906,0.03659151155845488,0.03681089791053036
Spain_Kagglazon_Using LLMs to Train More LLMs,Prophet_tuned,0.040492607940675024,0.17691101212542895,0.07183444688960229,0.18315681295496755,0.1231502893730157,0.040492607940675024,0.04053663156204381
Spain_Kagglazon_Using LLMs to Win Friends and Influence People,Prophet_tuned,0.04336135985797628,0.16997163780000893,0.06596784893869777,0.1702210751587775,0.12783120030462206,0.04336135985797628,0.043609755981756135
Spain_Kagglazon_Using LLMs to Win More Kaggle Competitions,Prophet_plain,0.03804519201067741,0.2317107070627451,0.0915653839885433,0.23466594595977316,0.1918633221111467,0.038050232211891535,0.03804519201067741
Spain_Kagglazon_Using LLMs to Write Better,Prophet_plain,0.042342793895779725,0.17675778121395275,0.15941664117717197,0.17753319765547024,0.16316894853903477,0.04249024494129157,0.042342793895779725
Spain_Kaggle Learn_Using LLMs to Improve Your Coding,Prophet_tuned,0.038244041584000237,0.1577126783672403,0.08481735636923432,0.1612634530304359,0.12226293475753301,0.038244041584000237,0.03826656283284542
Spain_Kaggle Learn_Using LLMs to Train More LLMs,Prophet_plain,0.0364714125666547,0.17771675471772788,0.0759930805347079,0.18465305027914536,0.11141343053591113,0.03653965271009023,0.0364714125666547
Spain_Kaggle Learn_Using LLMs to Win Friends and Influence People,Prophet_plain,0.03595513860799014,0.1690871307347033,0.07264567443111139,0.17561915397507402,0.13540539291621836,0.03673310830106134,0.03595513860799014
Spain_Kaggle Learn_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.03643681563819954,0.21528034633411117,0.1533841959143384,0.21973399640768468,0.15559182647947947,0.03643681563819954,0.03655937573241442
Spain_Kaggle Learn_Using LLMs to Write Better,Prophet_tuned,0.035123671912157026,0.1644205702447825,0.08465398585501288,0.16335243023891854,0.12939589696464332,0.035123671912157026,0.03654084715292019
Spain_Kaggle Store_Using LLMs to Improve Your Coding,Prophet_tuned,0.03681117996218083,0.16111892229029212,0.10603352316242151,0.16746159246490205,0.12214817394353628,0.03681117996218083,0.03731348179758471
Spain_Kaggle Store_Using LLMs to Train More LLMs,Prophet_tuned,0.037550515505328605,0.18344129670256934,0.07293574303296067,0.1791747313334725,0.13160409594676664,0.037550515505328605,0.03805995565626609
Spain_Kaggle Store_Using LLMs to Win Friends and Influence People,Prophet_tuned,0.047871606220963224,0.18738210105459982,0.0684735397415726,0.19301877624974512,0.13895641522404442,0.047871606220963224,0.04849725182641842
Spain_Kaggle Store_Using LLMs to Win More Kaggle Competitions,Prophet_tuned,0.04145269946748789,0.22879023082869068,0.1106992734790747,0.23411494162910074,0.18047710959684804,0.04145269946748789,0.043334757293380155
Spain_Kaggle Store_Using LLMs to Write Better,Prophet_tuned,0.04075917471980122,0.1580183754492817,0.12209437841608568,0.15827111208042527,0.1179930301775592,0.04075917471980122,0.040898629430247795
